Experiment,Metric,mean,std,n
n - geometry,macro avg_f1-score,0.722,0.060991802727907635,5
n - geometry,macro avg_precision,0.762,0.07823042886243177,5
n - geometry,macro avg_recall,0.702,0.05890670590009257,5
n - geometry,weighted avg_f1-score,0.852,0.04086563348340509,5
n - geometry,weighted avg_precision,0.85,0.045276925690687087,5
n - geometry,weighted avg_recall,0.8620000000000001,0.04024922359499621,5
n - geometry + intensity,0_f1-score,0.914,0.021908902300206617,5
n - geometry + intensity,0_precision,0.874,0.015165750888103098,5
n - geometry + intensity,0_recall,0.962,0.024899799195977446,5
n - geometry + intensity,1_f1-score,0.42799999999999994,0.10034938963441681,5
n - geometry + intensity,1_precision,0.6679999999999999,0.20413231003444804,5
n - geometry + intensity,1_recall,0.318,0.07259476565152614,5
n - geometry + intensity,accuracy,0.8539999999999999,0.03361547262794325,5
n - geometry + intensity,macro avg_f1-score,0.674,0.05813776741499453,5
n - geometry + intensity,macro avg_precision,0.77,0.11022703842524297,5
n - geometry + intensity,macro avg_recall,0.642,0.04324349662087932,5
n - geometry + intensity,weighted avg_f1-score,0.8320000000000001,0.034928498393145956,5
n - geometry + intensity,weighted avg_precision,0.8380000000000001,0.047644516998286396,5
n - geometry + intensity,weighted avg_recall,0.8539999999999999,0.03361547262794325,5
